Users,                                                                Data for Call Option                                                               ,,,,,,,"Time to maturity
 (in days)",Implied Volatility,,,,
,Ticker symbol,Date,Price,CE Expiry,Strike Price,Option Price,"# of 
contracts",,Brenner & Subrahmanyam,Actual,1-(K/S)e[−r(T−t)],Difference,
Group 1,Nifty 50,08/06/2015,8044.15,27/08/2015,8000,312.1,318,80,20.72%,19.33%,0.027,1.39%,
Group 1,Nifty 50,12/06/2015,7982.9,27/08/2015,8000,253.8,655,76,17.42%,18.03%,0.019,-0.61%,
Group 1,Nifty 50,17/06/2015,8091.55,27/08/2015,8100,242.7,477,71,17.00%,17.34%,0.018,-0.34%,
Group 1,Nifty 50,22/06/2015,8353.1,27/08/2015,8400,205.7,4509,66,14.48%,16.07%,0.012,-1.59%,
Group 1,Nifty 50,29/06/2015,8318.4,27/08/2015,8300,264.8,1473,59,19.79%,19.18%,0.018,0.61%,
Group 1,Nifty 50,01/06/2018,10696.2,30/08/2018,10700,245.75,2,90,11.57%,11.68%,0.024,-0.11%,
Group 1,Nifty 50,04/06/2018,10628.5,30/08/2018,10600,255.8,2,87,12.32%,11.67%,0.026,0.65%,
Group 1,Nifty 50,05/06/2018,10628.5,30/08/2018,10600,243.55,26,86,11.80%,11.14%,0.026,0.66%,
Group 1,Nifty 50,06/06/2018,10684.65,30/08/2018,10700,235.2,267,85,11.40%,11.80%,0.022,-0.40%,
Group 1,Nifty 50,07/06/2018,10768.35,30/08/2018,10800,214.2,957,84,10.37%,11.13%,0.020,-0.76%,
Group 1,Nifty 50,08/06/2018,10767.65,30/08/2018,10800,210.05,346,83,10.23%,11.01%,0.020,-0.78%,
Group 1,Nifty 50,11/06/2018,10786.95,30/08/2018,10800,227.5,519,80,11.26%,11.61%,0.020,-0.35%,
Group 1,Nifty 50,12/06/2018,10842.85,30/08/2018,10800,256.95,660,79,12.73%,11.70%,0.025,1.03%,
Group 1,Nifty 50,13/06/2018,10856.7,30/08/2018,10900,202.65,530,78,10.09%,11.15%,0.017,-1.06%,
Group 1,Nifty 50,14/06/2018,10808.05,30/08/2018,10800,234.2,686,77,11.79%,11.62%,0.022,0.17%,
Group 1,Nifty 50,15/06/2018,10817.7,30/08/2018,10800,229.5,1170,76,11.62%,11.21%,0.022,0.41%,
Group 1,Nifty 50,18/06/2018,10799.85,30/08/2018,10800,220,381,73,11.39%,11.43%,0.020,-0.04%,
Group 1,Nifty 50,19/06/2018,10710.45,30/08/2018,10700,242.9,397,72,12.77%,12.53%,0.020,0.24%,
Group 1,Nifty 50,18/05/2018,10596.4,26/07/2018,10600,234.2,34,69,12.71%,12.84%,0.018,-0.13%,
Group 1,Nifty 50,21/05/2018,10516.7,26/07/2018,10500,259.5,978,66,14.51%,14.09%,0.019,0.42%,
Group 1,Nifty 50,22/05/2018,10536.7,26/07/2018,10500,254.1,487,65,14.29%,13.29%,0.021,1.00%,
Group 1,Nifty 50,23/05/2018,10430.35,26/07/2018,10400,240.7,188,64,13.78%,12.94%,0.020,0.84%,
Group 1,Nifty 50,24-May-18,10513.85,26-Jul-18,10500,212.55,375,63,12.17%,11.81%,0.018,0.36%,
Group 1,Nifty 50,25-May-18,10605.15,26-Jul-18,10600,207.95,590,62,11.89%,11.78%,0.017,0.11%,
Group 1,Nifty 50,28-May-18,10688.65,26-Jul-18,10700,189.2,942,59,11.01%,11.36%,0.015,-0.35%,
Group 1,Nifty 50,29-May-18,10633.3,26-Jul-18,10600,211.15,544,58,12.45%,11.49%,0.019,0.96%,
Group 1,Nifty 50,30-May-18,10614.35,26-Jul-18,10600,206.25,447,57,12.29%,11.90%,0.017,0.39%,
Group 1,Nifty 50,31-May-18,10736.15,26-Jul-18,10700,191.7,1359,56,11.40%,10.33%,0.019,1.07%,
Group 1,Nifty 50,01-Jun-18,10696.2,26-Jul-18,10700,185.65,2648,55,11.18%,11.32%,0.015,-0.14%,
Group 1,Nifty 50,04-Jun-18,10628.5,26-Jul-18,10600,197.65,692,52,12.32%,11.46%,0.017,0.86%,
Group 1,Nifty 50,05-Jun-18,10593.15,26-Jul-18,10600,188.35,1186,51,11.89%,12.13%,0.013,-0.24%,
Group 1,Nifty 50,06-Jun-18,10684.65,26-Jul-18,10700,168.7,2153,50,10.66%,11.17%,0.012,-0.51%,
Group 1,Nifty 50,07-Jun-18,10768.35,26-Jul-18,10750,175.75,11,49,11.14%,10.59%,0.015,0.55%,
Group 1,Nifty 50,08-Jun-18,10767.65,26-Jul-18,10750,172.5,11,48,11.04%,10.51%,0.015,0.53%,
Group 1,Nifty 50,11-Jun-18,10786.95,26-Jul-18,10800,162.8,3786,45,10.75%,11.20%,0.011,-0.45%,
Group 1,Nifty 50,12-Jun-18,10842.85,26-Jul-18,10850,158.85,28,44,10.55%,10.81%,0.011,-0.26%,
Group 1,Nifty 50,13-Jun-18,10856.7,26-Jul-18,10850,163.25,33,43,10.95%,10.76%,0.012,0.19%,
Group 1,Nifty 50,14-Jun-18,10808.05,26-Jul-18,10800,169.95,3387,42,11.59%,11.35%,0.012,0.24%,
Group 1,Nifty 50,15-Jun-18,10817.7,26-Jul-18,10800,168.55,4278,41,11.62%,11.04%,0.013,0.58%,
Group 1,Nifty 50,18-Jun-18,10799.85,26-Jul-18,10800,153.55,2582,38,11.02%,11.05%,0.010,-0.03%,
Group 1,Nifty 50,19-Jun-18,10710.45,26-Jul-18,10700,172.1,6081,37,12.62%,12.27%,0.011,0.35%,
Group 2,Nifty 50,9/11/2015,7915.2,31/12/2015,7900,231.6,3325,52,19.38%,18.81%,0.016,0.57%,
Group 2,Nifty 50,10/11/2015,7783.35,31/12/2015,7800,200.95,2330,51,17.27%,18.00%,0.012,-0.73%,
Group 2,Nifty 50,16/11/2015,7806.6,31/12/2015,7800,217.75,3691,45,19.86%,19.62%,0.013,0.24%,
Group 2,Nifty 50,19/11/2015,7842.75,31/12/2015,7850,175.4,21,42,16.48%,16.86%,0.011,-0.38%,
Group 2,Nifty 50,20/11/2015,7856.55,31/12/2015,7850,175.3,38,41,16.64%,16.38%,0.012,0.26%,
Group 2,Nifty 50,23/10/2015,8295.45,31/12/2015,8300,259.3,131,69,17.97%,18.18%,0.018,-0.21%,
Group 2,Nifty 50,29/10/2015,8111.75,31/12/2015,8100,261.5,316,63,19.40%,18.99%,0.019,0.41%,
Group 2,Nifty 50,16/11/2015,7806.6,28/01/2016,7800,285,26,73,20.41%,20.24%,0.021,0.17%,
Group 2,Nifty 50,26/11/2015,7883.8,28/01/2016,7900,230.4,970,63,17.59%,18.23%,0.015,-0.64%,
Group 2,Nifty 50,4/12/2015,7781.9,28/01/2016,7800,214.1,1067,55,17.72%,18.49%,0.013,-0.77%,
Group 2,Nifty 50,8/12/2015,7701.7,28/01/2016,7700,206.65,998,51,17.95%,17.93%,0.014,0.02%,
Group 2,Nifty 50,9/12/2015,7612.5,28/01/2016,7600,221,1418,50,19.61%,19.12%,0.015,0.49%,
Group 2,Nifty 50,10/12/2015,7683.3,28/01/2016,7700,198.7,3805,49,17.65%,18.41%,0.011,-0.76%,
Group 2,Nifty 50,11/12/2015,7610.45,28/01/2016,7600,210.7,2009,77,15.07%,14.74%,0.022,0.33%,
Group 2,Nifty 50,15/12/2015,7700.9,28/01/2016,7700,189.1,1937,44,17.68%,17.69%,0.012,-0.01%,
